timestamp,node,event,rssi_dbm,snr_db,rx_count,data,periode_ms,detail,raw_line
08:58:45.136,S1,INIT,,,,,,=== LoRa SLAVE 1 ===,=== LoRa SLAVE 1 ===
08:58:45.144,S2,INIT,,,,,,=== LoRa SLAVE 2 ===,=== LoRa SLAVE 2 ===
08:58:45.156,S1,INIT,,,,,,Init LoRa ... OK,Init LoRa ... OK
08:58:45.160,S1,LAIN,,,,,,,Freq: 433.00 MHz
08:58:45.160,S1,LAIN,,,,,,,Menunggu POLL:1 dari Master (Raspberry Pi)...
08:58:45.165,S2,INIT,,,,,,Init LoRa ... OK,Init LoRa ... OK
08:58:45.165,S2,LAIN,,,,,,,Freq: 433.00 MHz
08:58:45.169,S2,LAIN,,,,,,,Menunggu POLL:2 dari Master (Raspberry Pi)...
08:59:09.170,S2,INIT,,,,,,=== LoRa SLAVE 2 ===,=== LoRa SLAVE 2 ===
08:59:09.191,S2,INIT,,,,,,Init LoRa ... OK,Init LoRa ... OK
08:59:09.191,S2,LAIN,,,,,,,Freq: 433.00 MHz
08:59:09.195,S2,LAIN,,,,,,,Menunggu POLL:2 dari Master (Raspberry Pi)...
08:59:12.384,S1,INIT,,,,,,=== LoRa SLAVE 1 ===,=== LoRa SLAVE 1 ===
08:59:12.401,S1,INIT,,,,,,Init LoRa ... OK,Init LoRa ... OK
08:59:12.405,S1,LAIN,,,,,,,Freq: 433.00 MHz
08:59:12.409,S1,LAIN,,,,,,,Menunggu POLL:1 dari Master (Raspberry Pi)...
08:59:39.188,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:39.191,S1,RX_POLL,-66,8.75,1,,,,[RX] POLL:1 | RSSI: -66 dBm | SNR: 8.75 dB | RX#: 1
08:59:39.191,S1,TX_DATA,,,,1,,,[TX] S1:DATA:1
08:59:39.225,S2,IGNORE_REPLY,,,,,,S1:DATA:1,[IGNORE] S1:DATA:1
08:59:39.260,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:39.262,S2,RX_POLL,-74,9.25,1,,,,[RX] POLL:2 | RSSI: -74 dBm | SNR: 9.25 dB | RX#: 1
08:59:39.262,S2,TX_DATA,,,,1,,,[TX] S2:DATA:1
08:59:39.298,S1,IGNORE_REPLY,,,,,,S2:DATA:1,[IGNORE] S2:DATA:1
08:59:39.831,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:39.834,S1,RX_POLL,-71,9.0,2,,643,,[RX] POLL:1 | RSSI: -71 dBm | SNR: 9.00 dB | RX#: 2
08:59:39.838,S1,TX_DATA,,,,2,,,[TX] S1:DATA:2
08:59:39.872,S2,IGNORE_REPLY,,,,,,S1:DATA:2,[IGNORE] S1:DATA:2
08:59:39.904,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:39.909,S2,RX_POLL,-75,8.75,2,,647,,[RX] POLL:2 | RSSI: -75 dBm | SNR: 8.75 dB | RX#: 2
08:59:39.909,S2,TX_DATA,,,,2,,,[TX] S2:DATA:2
08:59:39.945,S1,IGNORE_REPLY,,,,,,S2:DATA:2,[IGNORE] S2:DATA:2
08:59:40.478,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:40.482,S1,RX_POLL,-71,8.75,3,,648,,[RX] POLL:1 | RSSI: -71 dBm | SNR: 8.75 dB | RX#: 3
08:59:40.482,S1,TX_DATA,,,,3,,,[TX] S1:DATA:3
08:59:40.515,S2,IGNORE_REPLY,,,,,,S1:DATA:3,[IGNORE] S1:DATA:3
08:59:40.551,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:40.552,S2,RX_POLL,-76,8.75,3,,643,,[RX] POLL:2 | RSSI: -76 dBm | SNR: 8.75 dB | RX#: 3
08:59:40.553,S2,TX_DATA,,,,3,,,[TX] S2:DATA:3
08:59:40.588,S1,IGNORE_REPLY,,,,,,S2:DATA:3,[IGNORE] S2:DATA:3
08:59:41.121,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:41.125,S1,RX_POLL,-71,9.0,4,,643,,[RX] POLL:1 | RSSI: -71 dBm | SNR: 9.00 dB | RX#: 4
08:59:41.128,S1,TX_DATA,,,,4,,,[TX] S1:DATA:4
08:59:41.163,S2,IGNORE_REPLY,,,,,,S1:DATA:4,[IGNORE] S1:DATA:4
08:59:41.194,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:41.200,S2,RX_POLL,-77,9.0,4,,647,,[RX] POLL:2 | RSSI: -77 dBm | SNR: 9.00 dB | RX#: 4
08:59:41.200,S2,TX_DATA,,,,4,,,[TX] S2:DATA:4
08:59:41.235,S1,IGNORE_REPLY,,,,,,S2:DATA:4,[IGNORE] S2:DATA:4
08:59:41.769,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:41.772,S1,RX_POLL,-71,8.75,5,,647,,[RX] POLL:1 | RSSI: -71 dBm | SNR: 8.75 dB | RX#: 5
08:59:41.772,S1,TX_DATA,,,,5,,,[TX] S1:DATA:5
08:59:41.805,S2,IGNORE_REPLY,,,,,,S1:DATA:5,[IGNORE] S1:DATA:5
08:59:41.841,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:41.842,S2,RX_POLL,-77,9.0,5,,643,,[RX] POLL:2 | RSSI: -77 dBm | SNR: 9.00 dB | RX#: 5
08:59:41.843,S2,TX_DATA,,,,5,,,[TX] S2:DATA:5
08:59:41.878,S1,IGNORE_REPLY,,,,,,S2:DATA:5,[IGNORE] S2:DATA:5
08:59:42.412,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:42.415,S1,RX_POLL,-71,8.5,6,,643,,[RX] POLL:1 | RSSI: -71 dBm | SNR: 8.50 dB | RX#: 6
08:59:42.415,S1,TX_DATA,,,,6,,,[TX] S1:DATA:6
08:59:42.452,S2,IGNORE_REPLY,,,,,,S1:DATA:6,[IGNORE] S1:DATA:6
08:59:42.484,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:42.489,S2,RX_POLL,-75,9.0,6,,647,,[RX] POLL:2 | RSSI: -75 dBm | SNR: 9.00 dB | RX#: 6
08:59:42.490,S2,TX_DATA,,,,6,,,[TX] S2:DATA:6
08:59:42.525,S1,IGNORE_REPLY,,,,,,S2:DATA:6,[IGNORE] S2:DATA:6
08:59:43.058,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:43.061,S1,RX_POLL,-70,8.75,7,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 7
08:59:43.062,S1,TX_DATA,,,,7,,,[TX] S1:DATA:7
08:59:43.095,S2,IGNORE_REPLY,,,,,,S1:DATA:7,[IGNORE] S1:DATA:7
08:59:43.131,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:43.132,S2,RX_POLL,-74,8.5,7,,643,,[RX] POLL:2 | RSSI: -74 dBm | SNR: 8.50 dB | RX#: 7
08:59:43.133,S2,TX_DATA,,,,7,,,[TX] S2:DATA:7
08:59:43.168,S1,IGNORE_REPLY,,,,,,S2:DATA:7,[IGNORE] S2:DATA:7
08:59:43.702,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:43.705,S1,RX_POLL,-70,8.75,8,,643,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 8
08:59:43.710,S1,TX_DATA,,,,8,,,[TX] S1:DATA:8
08:59:43.743,S2,IGNORE_REPLY,,,,,,S1:DATA:8,[IGNORE] S1:DATA:8
08:59:43.775,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:43.780,S2,RX_POLL,-74,9.0,8,,647,,[RX] POLL:2 | RSSI: -74 dBm | SNR: 9.00 dB | RX#: 8
08:59:43.780,S2,TX_DATA,,,,8,,,[TX] S2:DATA:8
08:59:43.815,S1,IGNORE_REPLY,,,,,,S2:DATA:8,[IGNORE] S2:DATA:8
08:59:44.349,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:44.352,S1,RX_POLL,-70,8.75,9,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 9
08:59:44.353,S1,TX_DATA,,,,9,,,[TX] S1:DATA:9
08:59:44.386,S2,IGNORE_REPLY,,,,,,S1:DATA:9,[IGNORE] S1:DATA:9
08:59:44.418,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:44.423,S2,RX_POLL,-75,8.75,9,,644,,[RX] POLL:2 | RSSI: -75 dBm | SNR: 8.75 dB | RX#: 9
08:59:44.424,S2,TX_DATA,,,,9,,,[TX] S2:DATA:9
08:59:44.458,S1,IGNORE_REPLY,,,,,,S2:DATA:9,[IGNORE] S2:DATA:9
08:59:44.992,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:44.995,S1,RX_POLL,-70,8.75,10,,643,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 10
08:59:44.995,S1,TX_DATA,,,,10,,,[TX] S1:DATA:10
08:59:45.033,S2,IGNORE_REPLY,,,,,,S1:DATA:10,[IGNORE] S1:DATA:10
08:59:45.065,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:45.070,S2,RX_POLL,-75,8.75,10,,647,,[RX] POLL:2 | RSSI: -75 dBm | SNR: 8.75 dB | RX#: 10
08:59:45.070,S2,TX_DATA,,,,10,,,[TX] S2:DATA:10
08:59:45.105,S1,IGNORE_REPLY,,,,,,S2:DATA:10,[IGNORE] S2:DATA:10
08:59:45.639,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:45.642,S1,RX_POLL,-70,9.0,11,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 9.00 dB | RX#: 11
08:59:45.642,S1,TX_DATA,,,,11,,,[TX] S1:DATA:11
08:59:45.676,S2,IGNORE_REPLY,,,,,,S1:DATA:11,[IGNORE] S1:DATA:11
08:59:45.711,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:45.713,S2,RX_POLL,-76,9.0,11,,643,,[RX] POLL:2 | RSSI: -76 dBm | SNR: 9.00 dB | RX#: 11
08:59:45.713,S2,TX_DATA,,,,11,,,[TX] S2:DATA:11
08:59:45.748,S1,IGNORE_REPLY,,,,,,S2:DATA:11,[IGNORE] S2:DATA:11
08:59:46.282,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:46.286,S1,RX_POLL,-70,8.75,12,,644,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 12
08:59:46.286,S1,TX_DATA,,,,12,,,[TX] S1:DATA:12
08:59:46.323,S2,IGNORE_REPLY,,,,,,S1:DATA:12,[IGNORE] S1:DATA:12
08:59:46.355,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:46.360,S2,RX_POLL,-74,9.25,12,,647,,[RX] POLL:2 | RSSI: -74 dBm | SNR: 9.25 dB | RX#: 12
08:59:46.360,S2,TX_DATA,,,,12,,,[TX] S2:DATA:12
08:59:46.396,S1,IGNORE_REPLY,,,,,,S2:DATA:12,[IGNORE] S2:DATA:12
08:59:46.929,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:46.932,S1,RX_POLL,-70,8.75,13,,646,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 13
08:59:46.932,S1,TX_DATA,,,,13,,,[TX] S1:DATA:13
08:59:46.967,S2,IGNORE_REPLY,,,,,,S1:DATA:13,[IGNORE] S1:DATA:13
08:59:47.002,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:47.003,S2,RX_POLL,-73,9.0,13,,643,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.00 dB | RX#: 13
08:59:47.007,S2,TX_DATA,,,,13,,,[TX] S2:DATA:13
08:59:47.039,S1,IGNORE_REPLY,,,,,,S2:DATA:13,[IGNORE] S2:DATA:13
